2021-08-15 00:00:40.283 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:40.301 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:40.453 +01:00 [DBG] [  170ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:40.555 +01:00 [DBG] [  272ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:40.557 +01:00 [DBG] [  273ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:40.616 +01:00 [DBG] [  885ms] SoftwarePerformanceService.GetProcesses
2021-08-15 00:00:41.814 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:42.281 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:42.397 +01:00 [DBG] [  115ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:42.432 +01:00 [DBG] [  150ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:42.518 +01:00 [DBG] [  236ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:42.556 +01:00 [DBG] [  274ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:43.813 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:44.284 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:44.410 +01:00 [DBG] [  126ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:44.448 +01:00 [DBG] [  164ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:44.540 +01:00 [DBG] [  255ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:44.555 +01:00 [DBG] [  270ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:45.817 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:46.295 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:46.309 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:46.449 +01:00 [DBG] [  154ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:46.548 +01:00 [DBG] [  253ms] HardwarePerformanceService.UpdateNetworkUsage
